radii,CF(r),DD(r),RR(r)
0
1.0,1.857256093,0.0,0.0
3.0,0.413169134209,0.0,0.0
5.0,0.213058131929,0.0,0.0
7.0,0.125676702137,0.0,0.0
9.0,0.0856670460271,0.0,0.0
11.0,0.0612926364366,0.0,0.0
13.0,0.0446389552393,0.0,0.0
15.0,0.0339993179433,0.0,0.0
17.0,0.0286957551257,0.0,0.0
19.0,0.026230391868,0.0,0.0
21.0,0.0240426681722,0.0,0.0
23.0,0.0215467249738,0.0,0.0
25.0,0.0186069949487,0.0,0.0
27.0,0.0153767303079,0.0,0.0
29.0,0.0121469430352,0.0,0.0
31.0,0.00917074915067,0.0,0.0
33.0,0.00651881455967,0.0,0.0
35.0,0.00420814994204,0.0,0.0
37.0,0.00225575864332,0.0,0.0
39.0,0.000678644009059,0.0,0.0
