radii,CF(r),DD(r),RR(r)
0
1.0,0.569943087889,0.0,0.0
3.0,0.146613386736,0.0,0.0
5.0,0.0761203833734,0.0,0.0
7.0,0.0474108522541,0.0,0.0
9.0,0.0318153929255,0.0,0.0
11.0,0.0220716022382,0.0,0.0
13.0,0.0159626447734,0.0,0.0
15.0,0.01229510948,0.0,0.0
17.0,0.0101807511819,0.0,0.0
19.0,0.0088816390519,0.0,0.0
21.0,0.00783577752358,0.0,0.0
23.0,0.00692179292694,0.0,0.0
25.0,0.00610611075053,0.0,0.0
27.0,0.00531917397196,0.0,0.0
29.0,0.00447426280131,0.0,0.0
31.0,0.00350605571656,0.0,0.0
33.0,0.00245049345667,0.0,0.0
35.0,0.0013732961307,0.0,0.0
37.0,0.00034018791832,0.0,0.0
39.0,-0.0005831070008,0.0,0.0
