radii,CF(r),DD(r),RR(r)
0
1.0,31.7273037563,0.0,0.0
3.0,2.31788965883,0.0,0.0
5.0,1.01742511516,0.0,0.0
7.0,0.567607135839,0.0,0.0
9.0,0.377741871695,0.0,0.0
11.0,0.296724883736,0.0,0.0
13.0,0.256431280904,0.0,0.0
15.0,0.193493950243,0.0,0.0
17.0,0.147891711694,0.0,0.0
19.0,0.11989744853,0.0,0.0
21.0,0.096682822477,0.0,0.0
23.0,0.0764908547361,0.0,0.0
25.0,0.0598066192372,0.0,0.0
27.0,0.0464720653096,0.0,0.0
29.0,0.0360223877585,0.0,0.0
31.0,0.0279830284931,0.0,0.0
33.0,0.0218424071153,0.0,0.0
35.0,0.0170780556468,0.0,0.0
37.0,0.0131675046213,0.0,0.0
39.0,0.00958828457206,0.0,0.0
