radii,CF(r),DD(r),RR(r)
0
1.0,1.00654145038,0.0,0.0
3.0,0.238937949222,0.0,0.0
5.0,0.123604080745,0.0,0.0
7.0,0.0748121119413,0.0,0.0
9.0,0.0506149752229,0.0,0.0
11.0,0.0356897552902,0.0,0.0
13.0,0.0259077566329,0.0,0.0
15.0,0.019836594486,0.0,0.0
17.0,0.0165934257162,0.0,0.0
19.0,0.0148461976442,0.0,0.0
21.0,0.0133767766648,0.0,0.0
23.0,0.0119119169709,0.0,0.0
25.0,0.0103842306066,0.0,0.0
27.0,0.00878842963065,0.0,0.0
29.0,0.00714884627223,0.0,0.0
31.0,0.00549430162906,0.0,0.0
33.0,0.00387389504454,0.0,0.0
35.0,0.00234268932158,0.0,0.0
37.0,0.000955748078243,0.0,0.0
39.0,-0.000231865067416,0.0,0.0
