radii,CF(r),DD(r),RR(r)
0
1.0,0.246230918089,0.0,0.0
3.0,0.0749602193789,0.0,0.0
5.0,0.0391805272359,0.0,0.0
7.0,0.0256667672026,0.0,0.0
9.0,0.0169844891729,0.0,0.0
11.0,0.0114478830486,0.0,0.0
13.0,0.00822343606298,0.0,0.0
15.0,0.00640302544208,0.0,0.0
17.0,0.00520420211108,0.0,0.0
19.0,0.00432492485804,0.0,0.0
21.0,0.00365356322068,0.0,0.0
23.0,0.00317191874348,0.0,0.0
25.0,0.00287019175012,0.0,0.0
27.0,0.00264999354257,0.0,0.0
29.0,0.00237068065108,0.0,0.0
31.0,0.00192021368283,0.0,0.0
33.0,0.00132247586808,0.0,0.0
35.0,0.000641322782625,0.0,0.0
37.0,-5.93845337995e-05,0.0,0.0
39.0,-0.000715785041472,0.0,0.0
